band,species,"Beak length, mm","Beak depth, mm"
302,scandens,13.9,8.4
304,scandens,14.0,8.8
306,scandens,12.9,8.4
310,scandens,13.5,8.0
317,scandens,12.9,7.9
318,scandens,14.6,8.9
319,scandens,13.0,8.6
322,scandens,14.2,8.5
325,scandens,14.0,8.9
327,scandens,14.2,9.1
351,scandens,13.1,8.6
353,scandens,15.1,9.8
357,scandens,13.5,8.2
358,scandens,14.4,9.0
359,scandens,14.9,9.7
361,scandens,12.9,8.6
362,scandens,13.0,8.2
363,scandens,14.9,9.0
364,scandens,14.0,8.4
365,scandens,13.8,8.6
367,scandens,13.0,8.9
404,scandens,14.75,9.1
406,scandens,13.7,8.3
407,scandens,13.8,8.7
408,scandens,14.0,9.6
409,scandens,14.6,8.5
412,scandens,15.2,9.1
421,scandens,13.5,9.0
429,scandens,15.1,9.2
460,scandens,15.0,9.9
464,scandens,12.8,8.6
467,scandens,14.9,9.2
469,scandens,15.3,8.4
470,scandens,13.4,8.9
471,scandens,14.2,8.5
472,scandens,15.1,10.4
478,scandens,15.1,9.6
508,scandens,14.0,9.1
523,scandens,13.6,9.3
525,scandens,14.0,9.3
562,scandens,14.0,8.8
568,scandens,13.9,8.3
569,scandens,14.0,8.8
570,scandens,14.9,9.1
571,scandens,15.6,10.1
573,scandens,13.8,8.9
575,scandens,14.4,9.2
577,scandens,12.8,8.5
612,scandens,14.2,10.2
613,scandens,13.4,10.1
614,scandens,14.0,9.2
718,scandens,14.8,9.7
722,scandens,14.2,9.1
724,scandens,13.5,8.5
727,scandens,13.4,8.2
728,scandens,14.6,9.0
729,scandens,13.5,9.3
782,scandens,13.7,8.0
783,scandens,13.9,9.1
784,scandens,13.1,8.1
806,scandens,13.4,8.3
816,scandens,13.8,8.7
890,scandens,13.6,8.8
901,scandens,14.0,8.6
916,scandens,13.5,8.7
918,scandens,12.8,8.0
920,scandens,14.0,8.8
935,scandens,13.4,9.0
953,scandens,14.9,9.1
1014,scandens,15.54,9.74
1642,scandens,14.63,9.1
1748,scandens,14.73,9.8
1841,scandens,15.73,10.4
1842,scandens,14.83,8.3
2084,scandens,15.94,9.44
2397,scandens,15.14,9.04
8110,scandens,14.23,9.0
20122,scandens,14.15,9.05
20151,scandens,14.35,9.65
20188,scandens,14.95,9.45
20210,scandens,13.95,8.65
20223,scandens,14.05,9.45
20225,scandens,14.55,9.45
20252,scandens,14.05,9.05
20255,scandens,14.45,8.75
20266,scandens,15.05,9.45
20279,scandens,13.25,8.35
